,user_id,exercise_code,Set,Inequality,Trigonometric_function,Logarithm_versus_exponential,Plane_vector,Property_of_function,Image_of_function,Spatial_imagination,Abstract_summarization,Reasoning_and_demonstration,Calculation,is_right_answer
0,0,0,1,1,null,null,null,null,null,null,null,1,1,1.0
1,0,1,null,null,1,null,null,null,null,1,null,null,null,1.0
2,0,2,null,null,1,null,null,null,null,null,null,null,1,1.0
3,0,3,null,null,null,null,1,null,null,null,null,1,1,1.0
4,0,4,null,null,null,null,null,1,null,1,null,null,null,1.0
5,0,5,null,null,null,null,null,null,1,1,null,1,null,1.0
6,0,6,null,null,null,null,null,1,null,null,1,null,1,1.0
7,0,7,null,null,null,null,1,null,null,null,null,1,1,1.0
8,0,8,null,null,1,null,null,null,null,1,null,null,1,1.0
9,0,9,1,null,1,null,null,1,1,1,null,1,1,1.0
10,0,10,null,null,null,1,null,null,null,null,null,null,1,1.0
11,0,11,null,null,null,null,null,1,null,1,null,null,1,1.0
12,0,12,null,null,1,null,null,null,null,null,null,null,1,1.0
13,0,13,null,null,null,null,1,null,null,null,null,1,1,1.0
14,0,14,null,null,null,null,null,0,0,0,0,0,0,0.0
15,1,0,1,1,null,null,null,null,null,null,null,1,1,1.0
16,1,1,null,null,0,null,null,null,null,0,null,null,null,0.0
17,1,2,null,null,1,null,null,null,null,null,null,null,1,1.0
18,1,3,null,null,null,null,0,null,null,null,null,1,1,0.0
19,1,4,null,null,null,null,null,1,null,1,null,null,null,1.0
20,1,5,null,null,null,null,null,null,1,1,null,1,null,1.0
21,1,6,null,null,null,null,null,1,null,null,1,null,1,1.0
22,1,7,null,null,null,null,1,null,null,null,null,1,1,1.0
23,1,8,null,null,0,null,null,null,null,0,null,null,0,0.0
24,1,9,1,null,1,null,null,1,1,1,null,1,1,1.0
25,1,10,null,null,null,1,null,null,null,null,null,null,1,1.0
26,1,11,null,null,null,null,null,1,null,1,null,null,1,1.0
27,1,12,null,null,0,null,null,null,null,null,null,null,0,0.0
28,1,13,null,null,null,null,0,null,null,null,null,1,0,0.0
29,1,14,null,null,null,null,null,0,0,0,0,0,0,0.0
30,2,0,1,1,null,null,null,null,null,null,null,1,1,1.0
31,2,1,null,null,1,null,null,null,null,1,null,null,null,1.0
32,2,2,null,null,1,null,null,null,null,null,null,null,1,0.0
33,2,3,null,null,null,null,0,null,null,null,null,0,0,0.0
34,2,4,null,null,null,null,null,1,null,1,null,null,null,0.0
35,2,5,null,null,null,null,null,null,0,1,null,1,null,0.0
36,2,6,null,null,null,null,null,1,null,null,1,null,1,1.0
37,2,7,null,null,null,null,1,null,null,null,null,1,1,0.0
38,2,8,null,null,0,null,null,null,null,0,null,null,1,0.0
39,2,9,1,null,1,null,null,1,1,1,null,1,1,1.0
40,2,10,null,null,null,0,null,null,null,null,null,null,1,0.0
41,2,11,null,null,null,null,null,1,null,1,null,null,1,1.0
42,2,12,null,null,0,null,null,null,null,null,null,null,0,0.0
43,2,13,null,null,null,null,0,null,null,null,null,0,0,0.0
44,2,14,null,null,null,null,null,0,0,0,0,0,0,0.0
45,3,0,1,1,null,null,null,null,null,null,null,1,1,1.0
46,3,1,null,null,1,null,null,null,null,1,null,null,null,1.0
47,3,2,null,null,1,null,null,null,null,null,null,null,1,1.0
48,3,3,null,null,null,null,1,null,null,null,null,1,1,0.0
49,3,4,null,null,null,null,null,0,null,0,null,null,null,0.0
50,3,5,null,null,null,null,null,null,0,0,null,1,null,0.0
51,3,6,null,null,null,null,null,1,null,null,1,null,1,1.0
52,3,7,null,null,null,null,1,null,null,null,null,1,1,1.0
53,3,8,null,null,1,null,null,null,null,1,null,null,1,1.0
54,3,9,0,null,0,null,null,1,0,1,null,0,0,0.0
55,3,10,null,null,null,1,null,null,null,null,null,null,1,1.0
56,3,11,null,null,null,null,null,1,null,1,null,null,1,1.0
57,3,12,null,null,1,null,null,null,null,null,null,null,1,1.0
58,3,13,null,null,null,null,1,null,null,null,null,1,1,1.0
59,3,14,null,null,null,null,null,0,0,0,0,0,0,0.0
60,4,0,1,1,null,null,null,null,null,null,null,1,1,0.0
61,4,1,null,null,1,null,null,null,null,1,null,null,null,1.0
62,4,2,null,null,1,null,null,null,null,null,null,null,1,1.0
63,4,3,null,null,null,null,1,null,null,null,null,1,1,0.0
64,4,4,null,null,null,null,null,1,null,1,null,null,null,1.0
65,4,5,null,null,null,null,null,null,0,1,null,1,null,0.0
66,4,6,null,null,null,null,null,1,null,null,1,null,1,1.0
67,4,7,null,null,null,null,1,null,null,null,null,1,1,0.0
68,4,8,null,null,0,null,null,null,null,1,null,null,1,0.0
69,4,9,0,null,0,null,null,0,0,1,null,0,0,0.0
70,4,10,null,null,null,1,null,null,null,null,null,null,1,1.0
71,4,11,null,null,null,null,null,1,null,1,null,null,1,1.0
72,4,12,null,null,0,null,null,null,null,null,null,null,0,0.0
73,4,13,null,null,null,null,1,null,null,null,null,1,1,1.0
74,4,14,null,null,null,null,null,0,0,0,0,0,0,0.0
75,5,0,1,1,null,null,null,null,null,null,null,1,1,1.0
76,5,1,null,null,0,null,null,null,null,1,null,null,null,0.0
77,5,2,null,null,1,null,null,null,null,null,null,null,0,0.0
78,5,3,null,null,null,null,1,null,null,null,null,1,1,1.0
79,5,4,null,null,null,null,null,0,null,1,null,null,null,0.0
80,5,5,null,null,null,null,null,null,1,1,null,1,null,1.0
81,5,6,null,null,null,null,null,1,null,null,1,null,1,1.0
82,5,7,null,null,null,null,1,null,null,null,null,0,0,0.0
83,5,8,null,null,1,null,null,null,null,1,null,null,1,0.0
84,5,9,1,null,1,null,null,1,1,1,null,1,1,1.0
85,5,10,null,null,null,1,null,null,null,null,null,null,1,0.0
86,5,11,null,null,null,null,null,1,null,1,null,null,1,1.0
87,5,12,null,null,1,null,null,null,null,null,null,null,0,0.0
88,5,13,null,null,null,null,1,null,null,null,null,0,1,0.0
89,5,14,null,null,null,null,null,0,0,0,0,0,0,0.0
90,6,0,1,1,null,null,null,null,null,null,null,1,1,1.0
91,6,1,null,null,1,null,null,null,null,1,null,null,null,1.0
92,6,2,null,null,1,null,null,null,null,null,null,null,1,1.0
93,6,3,null,null,null,null,1,null,null,null,null,1,1,1.0
94,6,4,null,null,null,null,null,1,null,1,null,null,null,1.0
95,6,5,null,null,null,null,null,null,1,1,null,1,null,1.0
96,6,6,null,null,null,null,null,1,null,null,1,null,1,1.0
97,6,7,null,null,null,null,1,null,null,null,null,1,1,0.0
98,6,8,null,null,1,null,null,null,null,1,null,null,1,1.0
99,6,9,1,null,1,null,null,1,1,1,null,1,1,1.0
100,6,10,null,null,null,1,null,null,null,null,null,null,1,0.0
101,6,11,null,null,null,null,null,0,null,1,null,null,1,0.0
102,6,12,null,null,1,null,null,null,null,null,null,null,0,0.0
103,6,13,null,null,null,null,1,null,null,null,null,1,1,1.0
104,6,14,null,null,null,null,null,0,0,0,0,0,0,0.0
105,7,0,1,1,null,null,null,null,null,null,null,1,1,1.0
106,7,1,null,null,0,null,null,null,null,0,null,null,null,0.0
107,7,2,null,null,1,null,null,null,null,null,null,null,1,1.0
108,7,3,null,null,null,null,1,null,null,null,null,1,1,1.0
109,7,4,null,null,null,null,null,0,null,0,null,null,null,0.0
110,7,5,null,null,null,null,null,null,1,1,null,1,null,0.0
111,7,6,null,null,null,null,null,1,null,null,1,null,1,0.0
112,7,7,null,null,null,null,1,null,null,null,null,1,1,1.0
113,7,8,null,null,0,null,null,null,null,0,null,null,1,0.0
114,7,9,0,null,0,null,null,0,0,0,null,0,0,0.0
115,7,10,null,null,null,0,null,null,null,null,null,null,0,0.0
116,7,11,null,null,null,null,null,0,null,0,null,null,1,0.0
117,7,12,null,null,0,null,null,null,null,null,null,null,0,0.0
118,7,13,null,null,null,null,1,null,null,null,null,1,1,0.0
119,7,14,null,null,null,null,null,0,0,0,0,0,0,0.0
120,8,0,1,1,null,null,null,null,null,null,null,1,1,1.0
121,8,1,null,null,1,null,null,null,null,1,null,null,null,1.0
122,8,2,null,null,1,null,null,null,null,null,null,null,1,1.0
123,8,3,null,null,null,null,1,null,null,null,null,1,1,1.0
124,8,4,null,null,null,null,null,1,null,1,null,null,null,1.0
125,8,5,null,null,null,null,null,null,1,1,null,1,null,1.0
126,8,6,null,null,null,null,null,1,null,null,1,null,1,1.0
127,8,7,null,null,null,null,1,null,null,null,null,1,1,1.0
128,8,8,null,null,0,null,null,null,null,0,null,null,1,0.0
129,8,9,0,null,0,null,null,1,0,0,null,0,1,0.0
130,8,10,null,null,null,1,null,null,null,null,null,null,0,0.0
131,8,11,null,null,null,null,null,1,null,1,null,null,1,1.0
132,8,12,null,null,1,null,null,null,null,null,null,null,0,0.0
133,8,13,null,null,null,null,0,null,null,null,null,0,0,0.0
134,8,14,null,null,null,null,null,0,0,0,0,0,0,0.0
135,9,0,1,1,null,null,null,null,null,null,null,1,1,1.0
136,9,1,null,null,1,null,null,null,null,1,null,null,null,1.0
137,9,2,null,null,1,null,null,null,null,null,null,null,1,0.0
138,9,3,null,null,null,null,1,null,null,null,null,1,1,1.0
139,9,4,null,null,null,null,null,1,null,1,null,null,null,1.0
140,9,5,null,null,null,null,null,null,1,1,null,1,null,1.0
141,9,6,null,null,null,null,null,1,null,null,1,null,1,1.0
142,9,7,null,null,null,null,1,null,null,null,null,1,1,1.0
143,9,8,null,null,0,null,null,null,null,1,null,null,0,0.0
144,9,9,1,null,0,null,null,0,1,1,null,0,0,0.0
145,9,10,null,null,null,0,null,null,null,null,null,null,1,0.0
146,9,11,null,null,null,null,null,1,null,1,null,null,1,1.0
147,9,12,null,null,0,null,null,null,null,null,null,null,1,0.0
148,9,13,null,null,null,null,1,null,null,null,null,0,1,0.0
149,9,14,null,null,null,null,null,0,0,0,0,1,0,0.0
150,10,0,1,1,null,null,null,null,null,null,null,1,1,1.0
151,10,1,null,null,1,null,null,null,null,1,null,null,null,1.0
152,10,2,null,null,1,null,null,null,null,null,null,null,1,1.0
153,10,3,null,null,null,null,1,null,null,null,null,1,1,1.0
154,10,4,null,null,null,null,null,1,null,1,null,null,null,1.0
155,10,5,null,null,null,null,null,null,1,1,null,1,null,1.0
156,10,6,null,null,null,null,null,1,null,null,1,null,1,1.0
157,10,7,null,null,null,null,1,null,null,null,null,1,1,1.0
158,10,8,null,null,1,null,null,null,null,1,null,null,1,1.0
159,10,9,1,null,1,null,null,1,1,1,null,1,1,1.0
160,10,10,null,null,null,1,null,null,null,null,null,null,1,1.0
161,10,11,null,null,null,null,null,1,null,1,null,null,1,1.0
162,10,12,null,null,1,null,null,null,null,null,null,null,0,0.0
163,10,13,null,null,null,null,1,null,null,null,null,1,1,1.0
164,10,14,null,null,null,null,null,0,0,0,0,0,0,0.0
165,11,0,1,1,null,null,null,null,null,null,null,1,0,0.0
166,11,1,null,null,0,null,null,null,null,0,null,null,null,0.0
167,11,2,null,null,1,null,null,null,null,null,null,null,0,0.0
168,11,3,null,null,null,null,1,null,null,null,null,1,1,1.0
169,11,4,null,null,null,null,null,1,null,0,null,null,null,0.0
170,11,5,null,null,null,null,null,null,1,1,null,1,null,1.0
171,11,6,null,null,null,null,null,1,null,null,1,null,1,1.0
172,11,7,null,null,null,null,1,null,null,null,null,1,0,0.0
173,11,8,null,null,0,null,null,null,null,1,null,null,0,0.0
174,11,9,0,null,0,null,null,1,0,1,null,1,1,0.0
175,11,10,null,null,null,0,null,null,null,null,null,null,0,0.0
176,11,11,null,null,null,null,null,1,null,1,null,null,1,1.0
177,11,12,null,null,0,null,null,null,null,null,null,null,0,0.0
178,11,13,null,null,null,null,1,null,null,null,null,1,1,0.0
179,11,14,null,null,null,null,null,1,0,0,0,0,0,0.0
180,12,0,1,1,null,null,null,null,null,null,null,1,1,1.0
181,12,1,null,null,1,null,null,null,null,1,null,null,null,0.0
182,12,2,null,null,1,null,null,null,null,null,null,null,1,1.0
183,12,3,null,null,null,null,1,null,null,null,null,0,1,0.0
