,A1,A2,A5,A7,dui/cuo
0,1,0,0,1,1
1,1,0,1,0,0
2,0,0,0,1,1
3,0,1,1,0,0
4,0,0,0,1,1
5,0,1,1,0,0
6,0,0,0,0,0
7,0,1,1,1,1
8,1,1,0,0,0
9,1,1,0,1,1
10,1,1,1,0,0
11,0,0,1,0,0
12,0,1,0,0,0
13,1,1,0,0,0
14,0,1,1,0,0
15,1,0,1,0,0
16,1,0,1,1,1
17,0,0,0,1,1
18,1,0,0,1,1
19,1,1,1,0,0
20,0,1,1,0,0
21,1,0,1,0,0
22,1,0,1,1,1
23,1,1,0,1,1
24,0,1,1,1,1
25,1,1,0,1,1
26,1,0,1,0,0
27,0,0,0,0,0
28,0,1,0,0,0
29,1,0,1,0,0
30,0,1,1,0,0
31,0,0,1,1,1
32,1,0,1,1,1
33,1,0,0,0,0
34,1,1,1,1,1
35,0,1,1,1,1
36,1,0,0,0,0
37,0,0,1,0,0
38,0,0,0,1,1
39,1,1,0,1,1
40,0,1,1,0,0
41,0,1,0,1,1
42,1,1,0,0,0
43,1,0,1,1,1
44,0,0,0,1,1
45,0,1,0,0,0
46,1,1,0,0,0
47,0,1,1,0,0
48,0,1,1,1,1
49,0,0,1,0,0
50,0,1,1,0,0
51,1,0,1,1,1
52,1,0,1,0,0
53,1,1,0,0,0
54,0,1,0,0,0
55,1,1,0,0,0
56,1,1,1,0,0
57,1,0,1,0,0
58,1,1,1,0,0
59,0,0,1,1,1
60,1,0,0,1,1
61,0,1,0,0,0
62,0,0,0,0,0
63,1,0,1,0,0
64,0,1,1,1,1
65,0,0,0,0,0
66,0,0,1,1,1
67,0,1,1,0,0
68,1,1,0,1,1
69,1,0,1,0,0
70,0,0,0,1,1
71,0,1,0,1,1
72,0,1,0,1,1
73,0,0,1,1,1
74,1,1,0,0,0
75,0,0,0,0,0
76,0,1,0,0,0
77,0,1,0,0,0
78,1,0,1,0,0
79,0,0,1,1,1
80,1,1,0,0,0
81,0,0,0,0,0
82,0,0,1,0,0
83,0,0,0,0,0
84,0,1,0,0,0
85,1,0,0,1,1
86,0,0,0,0,0
87,0,0,0,0,0
88,0,1,0,0,0
89,0,1,1,0,0
90,1,0,0,1,1
91,1,1,1,0,0
92,0,0,1,1,1
93,1,1,1,0,0
94,0,0,1,0,0
95,0,1,1,0,0
96,1,0,0,1,1
97,0,1,1,1,1
98,0,0,0,0,0
99,1,0,0,0,0
100,1,1,1,0,0
101,0,0,1,0,0
102,0,0,1,0,0
103,0,1,0,0,0
104,0,0,1,1,1
105,1,1,1,0,0
106,1,1,1,1,1
107,1,0,0,1,1
108,0,1,1,0,0
109,1,1,0,0,0
110,0,0,1,0,0
111,0,0,1,0,0
112,1,1,1,1,1
113,0,0,1,1,1
114,0,1,0,1,1
115,1,0,1,0,0
116,0,1,0,0,0
117,0,0,0,1,1
118,0,1,0,0,0
119,0,0,0,1,1
120,0,0,0,0,0
121,0,0,0,0,0
122,1,1,1,0,0
123,1,0,0,0,0
124,1,1,1,1,1
125,1,0,0,1,1
126,0,1,1,1,1
127,0,0,1,0,0
128,0,1,0,1,1
129,0,1,0,0,0
130,1,0,0,0,0
131,1,1,1,0,0
132,0,1,1,0,0
133,1,1,0,1,1
134,0,0,0,1,1
135,0,1,0,0,0
136,1,0,0,0,0
137,0,1,1,1,1
138,0,0,0,1,1
139,0,0,0,1,1
140,0,0,0,1,1
141,1,0,1,1,1
142,0,1,1,0,0
143,0,0,0,0,0
144,0,0,0,0,0
145,1,1,1,1,1
146,1,0,1,0,0
147,0,0,0,1,1
148,1,1,1,0,0
149,1,0,1,1,1
150,0,1,0,0,0
