,A1,A3,A5,A7,dui/cuo
0,1,1,1,1,1
1,1,1,1,1,1
2,0,0,1,0,0
3,1,0,0,1,1
4,1,1,1,1,1
5,1,0,0,1,1
6,0,0,0,1,1
7,1,0,0,1,1
8,0,0,0,1,1
9,0,1,0,0,0
10,1,0,0,1,1
11,1,0,1,1,1
12,1,1,0,0,0
13,0,1,0,0,0
14,0,1,1,0,0
15,0,0,1,0,0
16,0,1,0,1,1
17,0,1,0,0,0
18,0,0,1,1,1
19,1,1,1,1,1
20,1,0,1,1,1
21,0,0,1,1,1
22,0,0,0,0,0
23,0,0,0,0,0
24,0,1,0,0,0
25,1,0,1,0,0
26,0,1,0,1,1
27,1,1,0,1,1
28,0,1,0,0,0
29,0,0,1,1,1
30,0,0,1,0,0
31,0,0,0,0,0
32,1,0,1,0,0
33,1,1,1,1,1
34,0,1,0,0,0
35,1,1,1,0,0
36,1,0,0,1,1
37,1,1,0,1,1
38,0,0,1,0,0
39,0,0,1,1,1
40,0,1,0,0,0
41,0,1,1,1,1
42,0,0,1,1,1
43,1,0,0,0,0
44,0,0,1,0,0
45,0,0,0,1,1
46,0,1,1,0,0
47,1,1,0,1,1
48,0,1,0,0,0
49,0,0,0,0,0
50,0,0,1,1,1
51,0,0,1,1,1
52,0,1,1,0,0
53,0,0,1,0,0
54,1,0,1,0,0
55,0,0,1,1,1
56,1,0,0,1,1
57,0,0,0,0,0
58,1,0,1,0,0
59,1,1,0,0,0
60,1,1,1,1,1
61,1,1,1,0,0
62,1,1,0,0,0
63,0,1,0,0,0
64,1,1,0,0,0
65,1,1,1,1,1
66,0,0,0,0,0
67,0,0,0,1,1
68,1,1,1,0,0
69,0,1,0,1,1
70,1,0,1,0,0
71,1,1,0,0,0
72,1,1,1,1,1
73,0,1,0,1,1
74,0,1,0,0,0
75,0,0,0,0,0
76,1,1,0,0,0
77,0,1,0,0,0
78,0,1,1,0,0
79,1,0,0,0,0
80,0,1,1,1,1
81,0,0,1,0,0
82,0,1,0,0,0
83,0,0,0,0,0
84,0,1,1,0,0
85,0,0,0,0,0
86,0,1,1,0,0
87,0,1,0,0,0
88,1,1,1,1,1
89,0,0,1,0,0
90,0,0,0,0,0
