,A1,A2,A3,A4,A5,A6,A7
0,0,1,1,1,1,1,0
1,0,0,1,0,1,1,1
2,0,0,0,1,0,0,1
3,1,0,1,0,1,1,1
4,0,1,1,0,0,1,1
5,1,1,1,0,0,1,1
6,0,1,1,1,1,1,1
7,1,0,1,0,1,0,0
8,1,0,1,1,1,1,1
9,1,1,0,1,0,1,1
10,0,1,1,1,0,0,0
11,0,0,1,1,1,0,0
12,1,0,1,1,0,1,1
13,1,1,0,1,0,0,0
14,0,1,0,1,0,0,1
15,0,0,1,1,1,1,1
16,0,0,1,0,1,1,0
17,1,0,1,1,1,0,1
18,1,1,1,1,0,0,1
19,1,0,1,1,1,1,0
20,1,1,1,0,1,0,1
21,1,1,0,1,0,1,1
22,1,0,0,1,1,0,1
23,1,1,1,0,1,0,0
24,1,1,0,1,1,1,1
25,1,0,0,1,0,0,1
26,1,0,1,1,0,0,1
27,1,0,0,1,0,1,1
28,1,1,0,0,1,1,0
29,1,1,1,1,1,0,1
30,1,0,1,1,1,1,1
31,1,0,0,0,1,0,0
32,0,1,0,0,1,0,1
33,0,0,1,1,0,1,1
34,1,0,1,0,1,1,1
35,0,1,0,1,1,0,1
36,0,1,1,1,0,0,1
37,1,1,1,1,1,1,0
38,0,1,0,1,0,1,1
39,0,1,0,1,0,0,0
40,1,0,1,1,1,0,0
41,0,1,0,0,1,0,1
42,0,1,0,0,1,0,1
43,0,0,1,1,0,0,1
44,1,1,1,0,1,0,1
45,1,1,0,0,0,0,1
46,0,0,1,0,0,0,1
47,0,1,1,0,1,0,1
48,1,0,1,0,0,1,0
49,0,0,0,0,1,1,0
50,0,1,1,1,0,1,0
51,1,1,1,1,0,1,1
52,1,0,0,0,0,1,1
53,0,1,0,0,1,1,1
54,1,1,1,0,1,1,0
55,1,1,1,0,1,1,1
56,0,1,1,0,1,1,1
57,0,0,0,1,1,0,1
58,0,0,1,1,1,1,1
59,1,0,0,0,1,1,1
60,0,0,0,1,0,1,0
61,0,1,0,1,1,1,1
62,1,1,1,0,1,1,1
63,1,0,1,0,0,1,1
64,0,1,1,1,1,0,1
65,1,1,0,0,0,1,1
66,1,0,1,1,0,1,0
67,1,1,1,0,0,1,0
68,1,0,0,1,0,1,0
69,1,0,1,0,1,0,0
70,1,1,1,1,0,0,0
71,1,1,1,1,1,1,1
72,0,0,0,1,0,1,1
73,1,1,0,1,0,0,1
74,0,1,1,0,1,1,1
75,0,0,1,1,1,1,1
76,1,1,0,0,1,0,1
77,1,1,1,1,1,0,1
78,1,0,0,1,1,0,1
79,1,0,1,0,0,1,1
80,1,1,1,1,1,1,0
81,0,0,0,0,1,1,1
82,0,1,0,0,1,0,0
83,0,0,0,0,1,1,0
84,1,0,0,0,1,0,1
85,0,0,0,0,1,0,1
86,0,1,0,0,0,1,1
87,1,1,1,0,1,0,0
88,0,0,0,0,0,0,1
89,1,0,1,0,1,1,1
90,1,1,1,1,0,1,0
91,0,1,1,1,1,1,0
92,0,1,1,1,1,1,1
93,1,0,1,0,1,1,1
94,0,1,1,0,0,1,1
95,1,0,0,1,1,0,0
96,1,1,1,0,1,1,0
97,0,1,1,0,1,1,0
98,1,0,1,1,1,1,0
99,0,0,1,1,1,0,1
100,1,0,0,1,1,0,1
101,1,0,1,0,1,1,1
102,0,1,1,1,1,0,1
103,1,1,1,1,0,1,0
104,1,1,1,1,0,1,1
105,1,1,1,1,0,0,0
106,1,0,1,0,1,1,0
107,1,1,1,1,1,1,0
108,0,1,0,1,1,0,0
109,1,1,1,0,0,1,1
110,1,1,1,0,1,1,1
111,1,1,0,1,1,1,0
112,1,1,0,1,1,1,1
113,1,1,1,0,1,1,1
114,1,1,0,0,1,1,1
115,1,0,1,1,1,0,1
116,1,1,0,0,1,0,0
117,0,1,0,0,1,1,0
118,0,1,1,0,0,0,0
119,1,1,0,1,1,1,1
120,1,1,1,1,0,1,1
121,1,1,0,1,1,1,1
122,0,1,0,1,1,1,1
123,0,0,1,0,0,0,1
124,0,1,1,0,1,0,1
125,1,0,1,0,1,1,1
126,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1
128,0,0,1,0,1,0,0
129,0,1,1,0,1,0,1
130,1,1,1,1,1,1,1
131,1,1,1,0,0,1,1
132,1,1,1,0,1,0,0
133,1,1,1,0,0,1,0
134,1,1,0,1,1,0,1
135,0,1,1,0,1,1,1
136,1,1,1,1,0,0,1
137,1,1,0,1,0,0,1
138,0,0,0,1,0,0,1
139,0,1,0,0,1,1,1
140,0,1,1,1,0,0,0
141,0,1,0,1,0,0,0
142,0,0,1,1,1,0,1
143,0,1,0,1,0,1,1
144,0,1,1,1,1,1,1
145,0,0,1,1,0,1,0
146,1,1,0,1,1,1,1
147,1,1,1,1,1,1,1
148,1,1,1,0,1,1,0
149,1,0,1,1,0,0,0
150,0,0,0,1,1,1,1
151,0,0,0,1,0,1,1
152,1,1,1,1,0,1,0
153,0,0,1,1,0,0,1
154,1,0,1,1,0,1,0
155,0,1,0,1,0,0,0
156,1,1,0,1,1,0,0
157,1,0,0,0,1,1,0
158,1,0,0,1,0,1,1
159,1,1,1,0,1,0,0
160,1,1,1,0,1,1,0
161,1,0,1,1,1,1,0
162,0,1,0,1,1,0,1
163,0,1,1,0,0,0,0
164,1,1,1,1,1,1,1
165,1,0,1,1,1,0,0
166,1,1,0,0,0,1,0
167,1,1,1,1,1,0,1
168,1,0,1,1,1,1,1
169,1,1,0,1,0,1,1
170,1,1,1,0,1,0,0
171,1,1,1,0,1,1,1
172,0,0,0,0,1,1,0
173,0,1,0,0,1,1,1
174,0,1,0,0,1,0,1
175,1,1,0,1,0,1,0
176,1,0,1,1,0,1,0
177,1,0,1,0,1,1,0
178,0,1,1,1,1,1,1
179,1,1,1,0,1,0,1
180,1,0,1,0,0,1,1
181,1,1,1,1,1,0,1
182,0,0,1,1,1,0,1
183,0,1,0,0,1,1,0
184,1,1,1,1,1,0,1
185,1,1,1,1,1,1,0
186,1,1,0,1,1,1,0
187,1,1,1,1,1,0,1
188,1,1,0,0,0,1,1
189,1,1,1,1,1,1,1
190,0,0,1,0,1,0,1
191,0,1,0,1,1,1,1
192,0,0,1,1,1,1,1
193,1,1,1,0,0,1,0
194,1,0,0,0,0,0,0
195,1,0,1,0,1,0,1
196,0,1,1,0,1,1,0
197,0,1,1,1,1,1,1
198,1,1,1,1,1,0,0
199,0,1,0,0,1,1,1
200,1,1,1,0,1,1,1
201,1,1,1,1,1,1,1
202,1,1,0,0,0,0,1
203,1,0,1,1,1,0,1
204,0,0,0,1,0,0,0
205,0,1,0,0,1,0,1
206,0,1,1,1,1,1,1
207,1,0,1,1,0,0,0
208,0,0,1,1,0,1,0
209,0,1,1,0,1,1,0
210,1,1,0,0,1,0,1
211,1,1,1,1,1,1,1
212,1,1,1,1,1,0,1
213,1,1,0,0,1,0,1
214,1,0,1,1,0,1,0
215,0,1,0,1,1,1,1
216,1,0,1,0,1,0,1
217,1,1,1,0,1,1,1
218,0,1,0,1,1,1,1
219,1,1,0,1,1,1,0
220,1,1,1,0,1,0,1
221,0,0,0,1,1,1,1
222,1,0,0,1,0,1,0
223,1,0,0,0,1,1,1
224,0,0,1,1,1,0,0
225,1,1,0,1,0,0,1
226,1,0,0,0,1,0,1
227,0,1,1,1,1,0,1
228,1,0,0,1,0,1,0
229,1,0,1,0,1,1,1
230,1,0,1,1,1,1,0
231,1,1,1,1,0,0,0
232,0,1,1,0,1,1,1
233,1,1,0,0,0,1,0
234,0,1,0,0,1,0,0
235,0,0,0,0,1,0,0
236,1,1,1,0,0,1,1
237,0,0,0,1,0,0,1
238,1,1,1,1,0,0,1
239,0,1,0,1,0,1,1
240,1,1,0,0,1,0,0
241,0,1,0,0,1,1,1
242,1,0,1,1,1,0,1
243,0,0,1,0,0,1,1
244,1,1,1,1,1,1,0
245,1,1,1,0,0,0,1
246,1,1,1,1,1,1,0
247,1,0,0,0,0,0,1
248,0,0,1,1,1,1,0
249,0,0,0,1,1,1,0
250,1,1,1,1,0,1,1
251,1,0,1,0,1,1,1
252,1,1,0,0,0,1,1
253,0,0,1,0,1,1,1
254,1,0,0,1,1,1,0
255,1,1,1,0,1,1,1
256,1,1,1,0,0,1,0
257,0,1,1,0,1,0,0
258,1,0,1,0,1,1,0
259,1,0,0,1,1,1,0
260,0,0,1,1,1,1,0
261,0,1,0,0,1,1,1
262,0,0,0,1,1,1,1
263,1,0,1,1,1,0,0
264,0,0,1,1,1,1,1
265,0,0,1,0,1,0,1
266,1,0,1,0,1,1,0
267,1,1,1,1,1,1,0
268,1,1,1,1,1,0,1
269,0,1,0,0,1,0,1
270,0,0,0,1,0,1,0
271,1,0,0,0,0,1,1
272,1,1,0,0,1,1,1
273,1,1,1,1,1,0,0
274,1,1,1,1,1,1,0
275,1,0,0,0,0,1,1
276,1,1,1,1,1,1,0
277,0,0,1,0,1,1,0
278,1,0,0,1,1,1,1
279,1,1,1,1,1,1,1
280,1,1,0,1,0,0,0
281,0,0,0,1,0,1,0
282,1,1,1,1,1,0,1
283,1,1,1,1,0,0,1
284,1,0,1,0,0,0,1
285,1,1,1,1,1,1,1
286,0,1,0,1,0,1,1
287,1,1,0,0,1,0,0
288,1,1,1,1,0,1,1
289,1,0,0,1,0,1,0
290,0,1,0,1,0,1,1
291,0,1,1,0,1,0,1
292,1,0,1,1,1,1,0
293,1,1,1,1,1,1,0
294,0,1,0,1,1,1,0
295,0,1,1,1,0,1,1
296,1,1,1,1,1,1,1
297,1,1,1,1,1,0,1
298,0,1,1,1,1,0,1
299,0,1,0,0,1,1,1
300,1,1,1,1,1,1,1
301,1,1,1,1,1,1,1
302,1,0,1,0,1,0,1
303,1,1,1,1,0,1,0
304,1,1,0,1,1,1,0
305,0,1,0,1,0,1,1
306,1,1,0,1,0,0,1
307,1,1,1,0,1,1,1
308,1,1,1,0,0,0,1
309,1,1,0,0,1,1,1
310,0,1,0,0,1,1,0
311,0,1,0,1,1,1,0
312,0,0,0,0,1,1,1
313,1,0,1,1,1,0,1
314,0,0,0,1,0,0,1
315,0,0,0,1,1,0,1
316,1,0,0,1,1,1,0
317,0,1,0,1,1,0,0
318,1,1,0,1,1,1,1
319,1,0,0,1,0,1,1
320,0,1,1,0,0,1,0
321,1,0,0,1,1,1,0
322,1,1,1,0,1,1,1
323,1,1,0,0,0,1,1
324,1,1,1,1,1,1,0
325,0,1,1,0,1,1,1
326,1,0,1,1,1,0,1
327,1,1,1,1,1,1,0
328,1,1,0,1,0,1,1
329,0,0,0,0,1,1,0
330,1,1,1,1,1,1,1
331,1,1,1,1,0,1,1
332,0,0,1,0,1,0,1
333,1,1,0,1,1,1,1
334,0,1,0,1,1,0,1
335,0,1,1,1,1,1,0
336,1,1,0,1,1,1,1
337,0,1,1,1,1,0,1
338,1,0,0,1,1,0,1
339,1,1,0,0,1,0,0
340,1,0,1,1,0,1,0
341,1,1,1,0,0,0,1
342,1,0,0,1,1,1,0
343,1,1,1,1,1,0,1
344,1,0,0,1,1,1,1
345,0,0,1,1,0,0,1
346,1,1,1,1,1,1,0
347,1,1,1,1,0,1,0
348,1,0,0,0,1,1,0
349,1,1,1,1,0,1,0
350,0,0,1,1,1,1,1
351,1,0,1,0,1,1,1
352,1,1,1,1,1,0,0
353,0,1,0,1,0,0,1
354,0,1,0,0,0,1,1
355,1,1,1,0,1,0,0
356,1,0,0,0,0,0,0
357,0,0,1,1,1,1,1
358,0,1,1,1,1,1,0
359,1,1,1,0,0,0,0
360,0,1,1,1,0,0,0
361,1,1,1,0,1,1,1
362,1,0,1,1,0,0,0
363,0,0,0,1,0,1,1
364,0,0,1,1,1,0,1
365,1,1,1,1,1,1,0
366,1,0,0,1,0,0,1
367,1,0,1,0,1,1,0
368,0,1,1,0,1,0,1
369,1,1,1,1,1,0,1
370,0,0,1,1,1,0,1
371,1,0,1,0,0,1,1
372,1,1,1,0,0,0,0
373,1,1,1,0,1,1,1
374,0,1,0,1,1,1,1
375,1,0,1,0,0,1,0
376,1,0,0,1,1,0,1
377,1,1,1,0,1,1,1
378,0,1,1,1,1,1,0
379,1,1,1,1,0,1,0
380,1,0,0,1,1,0,0
381,1,1,0,0,1,1,0
382,1,0,0,1,1,0,1
383,1,1,0,1,1,0,1
384,0,1,1,1,1,0,0
385,0,1,0,0,1,0,0
386,0,0,1,1,1,1,0
387,1,1,1,0,1,1,0
388,1,1,1,1,0,1,0
389,1,1,0,1,0,1,1
390,1,0,1,1,0,0,1
391,1,0,1,1,1,1,0
392,1,0,1,1,0,0,1
393,1,0,0,1,1,0,1
394,0,1,0,0,1,0,0
395,0,0,0,1,1,1,1
396,1,1,1,1,1,0,1
397,1,0,1,0,0,0,0
398,1,1,0,1,1,0,0
